reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
5EA25DB7-F854-48F8-8BB1-A324ADAB00EF	http://www.guardian.co.uk/world/afghanistan/warlogs/5EA25DB7-F854-48F8-8BB1-A324ADAB00EF	31,42417908	69,44822693	122	British officer enjoys memorable day	08.02.2007 15:21	Non-Combat Event	Meeting	Other	NEUTRAL	GREEN
4F87C7EE-C25F-4BC9-A9DB-2693A31DE34B	http://www.guardian.co.uk/world/afghanistan/warlogs/4F87C7EE-C25F-4BC9-A9DB-2693A31DE34B	31,89995003	64,66829681	98	Missile fired at British Chinook	13.02.2007 10:00	Enemy Action	SAFIRE	Other	ENEMY	RED
50943D15-36BC-4166-8016-2239921B579A	http://www.guardian.co.uk/world/afghanistan/warlogs/50943D15-36BC-4166-8016-2239921B579A	31,57593918	65,83164215	100	Sprinting civilian shot near convoy	16.02.2007 20:29	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8172F083-DB2F-4471-B50A-90FFCFE2E99E	http://www.guardian.co.uk/world/afghanistan/warlogs/8172F083-DB2F-4471-B50A-90FFCFE2E99E	31,12981033	64,19258118	185	Reconnaissance patrol wounded by police in darkness	16.02.2007 23:52	Friendly Fire	BLUE-GREEN	Coalition friendly fire	FRIEND	BLUE
9B68DAC8-5793-47B1-A84D-1E3734092EC9	http://www.guardian.co.uk/world/afghanistan/warlogs/9B68DAC8-5793-47B1-A84D-1E3734092EC9	34,88441086	71,15818024	217	Humvee runs down and kills girl	17.02.2007 10:00	Non-Combat Event	Accident	Accident	NEUTRAL	GREEN
770E2C21-2219-0B3F-9F9BDDFCD4998DB7	http://www.guardian.co.uk/world/afghanistan/warlogs/770E2C21-2219-0B3F-9F9BDDFCD4998DB7	34,34500122	62,19971848	144	Pakistan and insurgents accused of alcohol poisoning plot	25.02.2007 20:15	Threat Report	Other	Other	ENEMY	RED
773A7E52-2219-0B3F-9F5FB436D7CEA036	http://www.guardian.co.uk/world/afghanistan/warlogs/773A7E52-2219-0B3F-9F5FB436D7CEA036	31,11667061	64,19999695	150	Iran supplies poison to be slipped into tea of Afghan government officials, according to US report	27.02.2007 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
2F5C3285-B6B5-41A6-8A1A-3C532C5F714F	http://www.guardian.co.uk/world/afghanistan/warlogs/2F5C3285-B6B5-41A6-8A1A-3C532C5F714F	31,61244965	65,68192291	62	Driver killed at checkpoint for not stopping	27.02.2007 03:15	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
BBFF549E-AB8E-480B-B7F6-AE657B94767F	http://www.guardian.co.uk/world/afghanistan/warlogs/BBFF549E-AB8E-480B-B7F6-AE657B94767F	34,2472496	70,83850098	239	Shinwar. US Marines receive IED. Alleged to open fire on civilians	04.03.2007 05:00	Explosive Hazard	IED Explosion	Civilian casualties	ENEMY	RED
FD31D96F-547E-48F7-9BFB-79DACDEFBD5A	http://www.guardian.co.uk/world/afghanistan/warlogs/FD31D96F-547E-48F7-9BFB-79DACDEFBD5A	34,24780655	70,83857727	305	Shinwar 2nd report. Marines claim being fired upon	04.03.2007 05:00	Explosive Hazard	IED Ambush	Civilian casualties	ENEMY	RED
A1733389-DE1A-4AD2-948B-D6773D75A586	http://www.guardian.co.uk/world/afghanistan/warlogs/A1733389-DE1A-4AD2-948B-D6773D75A586	33,00632095	67,93653107	222	Police kill driver at checkpoint	05.03.2007 06:00	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
CACB2307-29AB-4B70-8ABB-2F937B72A3B4	http://www.guardian.co.uk/world/afghanistan/warlogs/CACB2307-29AB-4B70-8ABB-2F937B72A3B4	31,61594963	65,68598938	257	Convoy machine-gunner kills driver	05.03.2007 19:30	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
8EE19DA5-D033-47B2-9F0B-B39274ABBB42	http://www.guardian.co.uk/world/afghanistan/warlogs/8EE19DA5-D033-47B2-9F0B-B39274ABBB42	34,47253036	70,36765289	208	Protests at 'Shinwar massacre'	06.03.2007 05:15	Non-Combat Event	Demonstration	Demonstration/unrest	NEUTRAL	GREEN
DB44E211-46DC-4CF1-A9BA-E1A20926189F	http://www.guardian.co.uk/world/afghanistan/warlogs/DB44E211-46DC-4CF1-A9BA-E1A20926189F	33,49198914	68,38639832	275	Troops shoot three whose vehicle comes too close	06.03.2007 10:10	Friendly Action	Escalation of Force	Civilian casualties	FRIEND	BLUE
9343FEE0-2F50-407E-96A1-F8DDD5718D7C	http://www.guardian.co.uk/world/afghanistan/warlogs/9343FEE0-2F50-407E-96A1-F8DDD5718D7C	34,43502045	70,43663788	212	More protests at 'Shinwar massacre'	08.03.2007 00:00	Non-Combat Event	Demonstration	Demonstration/unrest	NEUTRAL	GREEN
